Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	rateAC	rateAG	rateAT	rateCG	rateGT	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5	
0	-8257.821537463446	-8224.592370585075	-33.22916687837058	-8224.592370585075	2.501189352597091	1.0049679620652963	0.2294455292981087	0.17487896179713508	3.6995101159186756	4.051467011336152E-5	0.24111920889684396	0.2416726378252989	0.2514202195709891	0.2657879337068681	-6.341789921603339	85.88141203555351	138.54638867124515	41.61460130631836	12.704683924916505	0.2850135969014935	9.0	37.0	-46.0	-3.0	8.0	
1	-8257.821537463446	-8224.592370585075	-33.22916687837058	-8224.592370585075	2.501189352597091	1.0049679620652963	0.2294455292981087	0.17487896179713508	3.6995101159186756	4.051467011336152E-5	0.24111920889684396	0.2416726378252989	0.2514202195709891	0.2657879337068681	-6.341789921603339	85.88141203555351	138.54638867124515	41.61460130631836	12.704683924916505	0.2850135969014935	9.0	37.0	-46.0	-3.0	8.0	
2	-8249.307497447428	-8222.848949103054	-26.458548344374194	-8222.848949103054	2.4037679501026816	0.9780952574295865	0.17400328843833615	0.4208568156126295	3.37264981834905	9.892795072192532E-5	0.24440745391871005	0.24634097782610043	0.250130696476849	0.25912087177834064	-3.8656380670908277	33.69164272911558	84.23087750323876	0.6496773821500991	1.6512899729755912	0.28758013763613127	20.0	40.0	-59.0	-11.0	15.0	
3	-8241.162210450682	-8219.726651129842	-21.435559320840095	-8219.726651129842	2.2665535764268205	0.7953578045522418	0.1414647674487557	0.3803948263994994	3.6794086805115467	1.8207599362641783E-5	0.2384560135851509	0.24634097782610043	0.25608213681040815	0.25912087177834064	-3.9197742886772664	185.59421638644662	11.056565299527684	0.9677241198114285	0.4169858604968096	0.48866147716022656	17.0	37.0	-53.0	0.0	4.0	
4	-8241.162210450682	-8219.726651129842	-21.435559320840095	-8219.726651129842	2.2665535764268205	0.7953578045522418	0.1414647674487557	0.3803948263994994	3.6794086805115467	1.8207599362641783E-5	0.2384560135851509	0.24634097782610043	0.25608213681040815	0.25912087177834064	-3.9197742886772664	185.59421638644662	11.056565299527684	0.9677241198114285	0.4169858604968096	0.48866147716022656	17.0	37.0	-53.0	0.0	4.0	
5	-8239.988206429764	-8219.095574224437	-20.892632205327285	-8219.095574224437	2.330942273807641	0.8681701929461206	0.15919861519913928	0.40774264009948	3.6794086805115467	7.3927261827109925E-6	0.2510109624738023	0.24515216256821065	0.2499409021276054	0.2538959728303818	-6.763826783683697	24.533163523534583	40.07834384531366	0.8345883346199305	0.2797531284916138	0.07375998610510331	14.0	50.0	-62.0	4.0	-1.0	
6	-8239.988206429764	-8219.095574224437	-20.892632205327285	-8219.095574224437	2.330942273807641	0.8681701929461206	0.15919861519913928	0.40774264009948	3.6794086805115467	7.3927261827109925E-6	0.2510109624738023	0.24515216256821065	0.2499409021276054	0.2538959728303818	-6.763826783683697	24.533163523534583	40.07834384531366	0.8345883346199305	0.2797531284916138	0.07375998610510331	14.0	50.0	-62.0	4.0	-1.0	
7	-8239.988206429764	-8219.095574224437	-20.892632205327285	-8219.095574224437	2.330942273807641	0.8681701929461206	0.15919861519913928	0.40774264009948	3.6794086805115467	7.3927261827109925E-6	0.2510109624738023	0.24515216256821065	0.2499409021276054	0.2538959728303818	-6.763826783683697	24.533163523534583	40.07834384531366	0.8345883346199305	0.2797531284916138	0.07375998610510331	14.0	50.0	-62.0	4.0	-1.0	
8	-8239.988206429764	-8219.095574224437	-20.892632205327285	-8219.095574224437	2.330942273807641	0.8681701929461206	0.15919861519913928	0.40774264009948	3.6794086805115467	7.3927261827109925E-6	0.2510109624738023	0.24515216256821065	0.2499409021276054	0.2538959728303818	-6.763826783683697	24.533163523534583	40.07834384531366	0.8345883346199305	0.2797531284916138	0.07375998610510331	14.0	50.0	-62.0	4.0	-1.0	
9	-8235.342167037663	-8218.845642020146	-16.496525017516955	-8218.845642020146	2.1880323365166654	0.8681701929461206	0.17914025686032992	0.40774264009948	3.6794086805115467	1.2835709709255933E-5	0.2510109624738023	0.24305658094550442	0.2503827482394813	0.25554970834121205	-6.060981732396673	5.505715507185153	2.012103965743158	2.2769072995284	0.6004489612703822	0.22502037760041665	14.0	42.0	-55.0	-2.0	6.0	
10	-8233.441256427717	-8217.645779045239	-15.79547738247817	-8217.645779045239	2.47796006141785	0.8681701929461206	0.16783137877985355	0.348758574985996	3.9191977137964096	2.128044783469841E-5	0.23941098060906676	0.24765980490991765	0.251849199723897	0.2610800147571187	-4.083102703239689	33.960312933099665	0.45265155640469834	0.17179539732132587	0.24536387977747245	0.6320798246946239	1.0	53.0	-43.0	-3.0	-3.0	
11	-8235.87411968065	-8215.566604468135	-20.307515212515476	-8215.566604468135	2.5210834835566756	0.7097387426538541	0.23700851272988227	0.30808780581698264	3.9191977137964096	2.54451419003164E-4	0.24175845157513645	0.2427772302769273	0.25014543232695996	0.2653188858209764	-8.174446345815088	47.40835726894918	1.998862662128046	0.22587465522766714	0.12004572721949251	0.0072651583907342495	1.0	69.0	-33.0	-49.0	17.0	
