"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight"
"1","GTR","relaxed_log_normal","birth_death",-8235.03512660878,5.4330315721896,2.78666087155349e-13
"2","GTR","relaxed_log_normal","coalescent_bayesian_skyline",-8271.93531190826,7.44786550281492,2.62746695544668e-29
"3","GTR","relaxed_log_normal","coalescent_constant_population",-8259.12267016654,3.43470747546149,9.63822076857883e-24
"4","GTR","relaxed_log_normal","coalescent_exp_population",-8238.32225825379,5.25630746322181,1.04112046856156e-14
"5","GTR","relaxed_log_normal","yule",-8232.38635478416,4.8791388108739,3.93940930888232e-12
"6","GTR","strict","birth_death",-8231.42076296004,5.13699429052292,1.03462342671572e-11
"7","GTR","strict","coalescent_bayesian_skyline",-8261.15321442759,5.01321420606299,1.26515198722349e-24
"8","GTR","strict","coalescent_constant_population",-8271.50241603258,4.06073630819765,4.05080700976357e-29
"9","GTR","strict","coalescent_exp_population",-8241.06246423575,5.68194785742286,6.72116639968795e-16
"10","GTR","strict","yule",-8231.9572016133,4.61230261929339,6.05076046791874e-12
"11","HKY","relaxed_log_normal","birth_death",-8221.96783147044,4.16673280136852,0.000000131867657532152
"12","HKY","relaxed_log_normal","coalescent_bayesian_skyline",-8230.21608411453,5.36713995020636,3.45118057133551e-11
"13","HKY","relaxed_log_normal","coalescent_constant_population",-8235.282411509,6.2464762065366,2.17615413072848e-13
"14","HKY","relaxed_log_normal","coalescent_exp_population",-8212.83765496968,3.4669169648332,0.00121709243952126
"15","HKY","relaxed_log_normal","yule",-8236.9911851445,5.92896969417211,3.94074824867167e-14
"16","HKY","strict","birth_death",-8223.9978701368,4.30116655849038,0.0000000173182378785079
"17","HKY","strict","coalescent_bayesian_skyline",-8233.45279905661,5.90867808805156,1.35606417895804e-12
"18","HKY","strict","coalescent_constant_population",-8223.01456780674,3.9098385840942,0.0000000462963205836406
"19","HKY","strict","coalescent_exp_population",-8229.8487930622,5.35186321343965,4.98287692208479e-11
"20","HKY","strict","yule",-8233.37619830858,5.064558306451,1.46402174130307e-12
"21","JC69","relaxed_log_normal","birth_death",-8215.67986583125,2.85672271997963,0.0000709523968595503
"22","JC69","relaxed_log_normal","coalescent_bayesian_skyline",-8217.96393003705,4.21779765029368,0.00000722787428359066
"23","JC69","relaxed_log_normal","coalescent_constant_population",-8225.70881538608,4.3231231482582,0.00000000312931743710944
"24","JC69","relaxed_log_normal","coalescent_exp_population",-8206.12902829363,2.40694592972782,0.997339709926097
"25","JC69","relaxed_log_normal","yule",-8218.44990960004,3.76751123453236,0.00000444582483586051
"26","JC69","strict","birth_death",-8215.59561154928,3.05766759101606,0.0000771895023128548
"27","JC69","strict","coalescent_bayesian_skyline",-8220.99890727152,3.68705962656738,0.000000347485530095299
"28","JC69","strict","coalescent_constant_population",-8219.78201879158,4.00389069325255,0.00000117334216169045
"29","JC69","strict","coalescent_exp_population",-8212.78806888639,3.04892819389779,0.00127896460888389
"30","JC69","strict","yule",-8218.97132016066,3.85553091227692,0.00000263940854480851
"31","TN93","relaxed_log_normal","birth_death",-8225.68000932565,4.59723895423082,0.00000000322077163804148
"32","TN93","relaxed_log_normal","coalescent_bayesian_skyline",-8239.14778129887,5.45312373441186,4.56016840945112e-15
"33","TN93","relaxed_log_normal","coalescent_constant_population",-8223.04064653498,5.04446786372843,0.0000000451045785208554
"34","TN93","relaxed_log_normal","coalescent_exp_population",-8227.37701374035,5.4065945854701,0.000000000590147103784529
"35","TN93","relaxed_log_normal","yule",-8228.93043699376,4.75554860442799,0.000000000124829471870093
"36","TN93","strict","birth_death",-8228.81164025209,4.61318621719,0.000000000140575585967381
"37","TN93","strict","coalescent_bayesian_skyline",-8224.68037459757,3.87079261923859,0.00000000875176765845379
"38","TN93","strict","coalescent_constant_population",-8231.89546148702,5.68047408804707,6.43610850207915e-12
"39","TN93","strict","coalescent_exp_population",-8227.48583310751,4.77614714392076,0.000000000529298458812176
"40","TN93","strict","yule",-8232.66459494821,5.18367191972772,2.98258575234575e-12
